Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001
World Economic Outlook,Annual percent change,W694PCPI%,NIGERIA,Inflation,13.76,16.00,3.46,5.40,12.67,33.87,24.30,13.84,21.71,11.71,9.97,20.81,7.70,23.21,39.58,5.52,5.36,10.20,34.50,50.47,7.36,13.01,44.59,57.16,57.00,72.80,29.30,8.50,10.00,6.60,5.80,7.29
World Economic Outlook,Annual percent change,W142PCPI%,NORWAY,Inflation,10.57,6.26,7.22,7.44,9.41,11.71,9.18,9.04,8.15,4.76,10.90,13.64,11.37,8.41,6.28,5.67,7.19,8.73,6.70,4.56,4.11,3.42,2.34,2.27,1.40,2.46,1.26,2.58,2.26,2.33,2.30,2.00
World Economic Outlook,Annual percent change,W449PCPI%,OMAN,Inflation,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.40,9.28,10.01,6.40,2.54,-2.07,-7.36,-3.97,7.64,2.56,1.59,1.56,10.01,4.60,0.96,1.14,-0.66,-1.13,0.29,-0.80,-0.90,-0.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W564PCPI%,PAKISTAN,Inflation,4.49,7.72,5.18,23.06,26.66,20.90,7.16,10.13,6.18,8.24,11.98,11.90,5.90,6.16,6.08,5.61,3.51,4.68,8.82,7.87,9.05,12.66,9.40,9.83,11.27,13.02,10.79,11.80,7.81,5.74,4.00,5.00
World Economic Outlook,Annual percent change,W283PCPI%,PANAMA,Inflation,3.13,1.92,5.41,6.86,16.27,5.88,3.95,4.59,4.20,7.99,13.81,7.30,4.25,2.10,1.58,1.03,-0.07,1.00,0.36,0.12,0.78,1.38,1.75,0.48,1.33,0.94,1.26,1.26,0.64,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W853PCPI%,PAPUA NEW GUINEA,Inflation,0.65,3.58,6.44,8.41,23.13,10.50,7.80,4.36,5.78,5.80,12.07,8.00,5.56,7.89,7.48,3.71,5.47,3.29,5.40,4.50,7.00,7.00,4.30,5.00,2.92,17.28,11.63,3.94,13.53,6.32,n.a.,n.a.
World Economic Outlook,Annual percent change,W288PCPI%,PARAGUAY,Inflation,-0.68,4.79,9.48,12.54,25.20,6.85,4.61,9.20,10.88,28.32,22.44,14.00,6.89,13.22,20.44,25.22,31.62,21.93,22.48,26.57,38.12,24.20,15.22,18.24,20.51,13.44,9.81,8.30,7.00,6.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W293PCPI%,PERU,Inflation,5.03,6.79,7.22,9.49,16.89,23.62,33.48,38.05,57.85,66.69,59.15,75.43,64.45,111.13,110.18,163.42,77.90,85.80,667.00,3398.68,7481.60,409.50,73.50,48.59,23.70,11.13,11.54,8.50,7.27,3.50,3.90,3.50
World Economic Outlook,Annual percent change,W566PCPI%,PHILIPPINES,Inflation,15.28,21.39,8.20,16.58,34.15,6.76,6.20,10.63,6.90,16.77,17.36,17.61,8.94,0.79,50.34,23.10,0.75,3.74,8.82,12.69,15.26,18.69,8.93,7.58,9.05,8.10,8.39,5.02,9.70,6.69,5.50,5.00
World Economic Outlook,Annual percent change,W964PCPI%,POLAND,Inflation,5.66,5.18,4.61,7.66,13.04,10.97,8.20,8.35,7.15,8.96,9.40,21.21,100.83,22.12,15.02,15.06,17.81,25.22,60.22,251.12,585.78,70.30,43.00,35.30,32.20,27.88,19.90,14.90,11.80,7.30,8.00,6.30
World Economic Outlook,Annual percent change,W182PCPI%,PORTUGAL,Inflation,3.91,4.34,5.45,6.95,12.68,12.77,9.20,7.07,4.47,4.47,7.81,19.90,22.67,25.08,29.29,19.39,11.62,9.49,9.51,11.60,13.40,11.40,8.90,6.50,5.20,4.10,3.10,2.20,2.80,2.20,2.14,1.90
World Economic Outlook,Annual percent change,W453PCPI%,QATAR,Inflation,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.03,10.03,6.01,6.84,8.46,5.70,2.70,1.14,1.13,1.90,4.49,4.82,3.30,4.55,2.91,2.99,-0.85,1.36,2.97,7.14,2.68,2.92,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W968PCPI%,ROMANIA,Inflation,0.60,0.60,0.00,0.70,1.09,0.20,0.50,0.60,2.00,1.86,1.52,2.20,16.93,4.69,-0.32,-0.20,0.70,1.10,2.60,0.90,127.90,161.12,210.39,256.11,136.74,32.27,38.81,154.76,59.10,45.80,39.00,20.00
World Economic Outlook,Annual percent change,W922PCPI%,RUSSIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,92.70,1734.73,874.66,307.38,197.43,47.57,14.68,27.66,85.89,20.48,15.88
World Economic Outlook,Annual percent change,W714PCPI%,RWANDA,Inflation,0.51,0.49,3.11,9.36,31.09,30.22,7.16,13.65,13.27,15.62,7.20,6.44,12.61,6.63,5.36,1.73,-1.10,4.15,2.91,1.04,4.20,19.60,9.50,12.50,64.00,22.00,8.90,11.69,6.84,-2.54,n.a.,n.a.
World Economic Outlook,Annual percent change,W862PCPI%,SAMOA,Inflation,3.00,4.63,7.70,12.00,24.92,8.79,4.90,14.61,2.06,11.12,33.05,20.51,18.30,16.46,11.86,-32.03,5.74,4.57,8.51,6.47,15.23,-1.82,9.03,1.71,12.09,-2.91,5.38,6.86,2.23,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W716PCPI%,SAO TOME & PRINCIPE,Inflation,4.32,5.65,5.53,9.97,18.43,29.70,10.90,7.39,10.33,5.48,0.22,11.48,0.40,7.00,3.20,0.10,13.90,25.00,44.28,42.89,42.25,46.48,33.70,25.50,51.16,36.80,42.05,69.05,42.11,16.33,n.a.,n.a.
World Economic Outlook,Annual percent change,W456PCPI%,SAUDI ARABIA,Inflation,0.18,4.50,4.30,16.51,21.41,34.62,31.55,11.39,11.21,1.17,4.38,2.77,1.02,0.18,-1.56,-3.08,-3.17,-1.59,0.91,1.00,2.08,4.56,-0.37,0.84,0.65,5.05,0.87,-0.43,-0.17,-1.20,1.08,1.94
World Economic Outlook,Annual percent change,W722PCPI%,SENEGAL,Inflation,2.79,3.92,6.11,11.27,16.60,31.67,1.09,11.33,3.47,9.62,8.70,5.78,17.38,11.71,11.74,13.04,6.12,-4.13,-1.82,0.45,0.32,-1.75,-0.11,-0.59,32.10,8.02,2.79,2.50,1.30,0.80,n.a.,n.a.
World Economic Outlook,Annual percent change,W718PCPI%,SEYCHELLES,Inflation,14.89,14.89,20.99,18.24,24.49,18.54,14.91,14.95,11.72,12.58,13.52,10.51,-0.85,6.03,4.06,0.80,0.30,2.58,1.84,1.52,3.93,2.03,3.25,1.28,1.85,-0.29,-1.08,0.61,1.00,1.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W724PCPI%,SIERRA LEONE,Inflation,6.40,-1.27,5.50,5.66,14.42,19.91,17.18,8.34,10.90,21.37,12.87,23.37,26.89,68.53,66.57,76.58,80.87,178.70,34.29,60.80,110.95,102.69,65.50,22.20,24.20,25.99,23.14,14.95,35.53,29.60,n.a.,n.a.
World Economic Outlook,Annual percent change,W576PCPI%,SINGAPORE,Inflation,0.36,1.69,2.29,19.51,22.45,2.64,-1.89,3.17,4.84,4.10,8.55,8.25,3.81,1.22,2.64,0.43,-1.39,0.52,1.52,2.35,3.46,3.43,2.28,2.24,3.14,1.71,1.38,2.00,-0.27,0.44,1.30,1.72
World Economic Outlook,Annual percent change,W936PCPI%,SLOVAK REPUBLIC,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,10.00,23.00,13.41,9.89,5.80,6.10,6.70,10.70,n.a.,n.a.
World Economic Outlook,Annual percent change,W961PCPI%,SLOVENIA,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,207.30,31.90,21.50,13.50,9.90,8.40,8.00,6.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W813PCPI%,SOLOMON ISLANDS,Inflation,4.32,5.65,6.90,3.23,18.85,10.09,4.26,8.62,12.15,7.75,8.25,13.14,13.00,6.95,10.92,9.41,13.10,11.49,16.81,14.94,8.56,10.77,9.18,9.20,13.30,9.60,12.10,8.10,8.00,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W199PCPI%,SOUTH AFRICA,Inflation,5.59,6.53,9.50,11.60,13.52,11.24,11.13,10.19,13.08,13.78,13.84,15.44,15.12,12.12,11.26,16.60,18.40,16.13,12.88,14.77,14.42,15.16,13.91,9.74,8.99,8.58,7.40,8.57,6.86,5.22,4.67,5.91
World Economic Outlook,Annual percent change,W184PCPI%,SPAIN,Inflation,5.71,8.11,8.26,11.44,16.33,16.97,14.88,24.32,19.57,15.64,15.41,14.71,14.49,12.03,11.30,8.82,8.87,5.20,4.81,6.88,6.67,5.92,5.91,4.58,4.76,4.64,3.58,1.87,1.77,2.23,2.27,2.20
World Economic Outlook,Annual percent change,W524PCPI%,SRI LANKA,Inflation,5.90,2.68,6.27,9.68,12.33,6.73,1.21,1.25,8.85,10.80,26.10,18.00,10.80,14.00,16.60,1.50,8.00,7.70,13.98,11.57,21.50,12.20,11.39,11.74,8.44,7.68,15.94,9.57,9.37,4.70,n.a.,n.a.
World Economic Outlook,Annual percent change,W361PCPI%,ST. KITTS AND NEVIS,Inflation,17.74,17.74,17.74,17.74,17.74,17.74,17.74,17.74,33.42,4.36,19.33,8.56,5.98,2.23,2.73,2.67,-0.03,0.94,0.23,5.13,4.19,4.18,2.86,1.79,1.43,3.00,2.05,8.92,3.61,4.10,n.a.,n.a.
World Economic Outlook,Annual percent change,W362PCPI%,ST. LUCIA,Inflation,13.40,8.35,7.92,13.45,34.20,17.75,9.66,8.87,10.88,9.36,19.44,15.00,4.60,1.50,1.20,1.60,0.00,7.00,0.80,4.40,3.80,6.20,4.61,0.81,2.68,5.91,0.90,0.00,2.77,1.03,n.a.,n.a.
World Economic Outlook,Annual percent change,W364PCPI%,ST. VINCENT & GRENS.,Inflation,6.80,6.80,6.80,6.80,6.80,6.80,11.29,10.19,8.46,15.60,17.33,20.18,7.32,5.42,2.74,2.02,1.19,2.89,0.30,2.64,7.25,5.92,3.81,4.25,0.44,2.35,4.41,0.49,2.10,2.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W732PCPI%,SUDAN,Inflation,4.01,1.40,13.39,15.31,26.13,23.96,1.67,17.09,20.02,33.58,26.53,24.00,26.61,30.57,33.66,45.62,60.00,26.52,62.86,65.34,65.18,123.58,117.62,101.31,115.48,68.38,132.82,46.65,17.11,15.99,12.00,7.50
World Economic Outlook,Annual percent change,W366PCPI%,SURINAME,Inflation,2.55,0.19,3.25,12.96,16.89,8.42,10.09,9.69,8.84,14.59,14.15,8.68,7.12,4.37,3.69,10.85,18.66,53.42,7.34,0.76,21.77,25.96,43.68,143.41,368.48,235.50,-0.80,7.20,20.80,28.70,n.a.,n.a.
World Economic Outlook,Annual percent change,W734PCPI%,SWAZILAND,Inflation,1.87,2.30,2.34,13.43,19.04,13.26,4.70,20.82,8.90,14.60,18.20,13.70,7.50,13.56,14.98,20.00,13.16,13.31,14.03,6.35,13.57,11.03,8.15,11.25,13.87,12.26,6.40,7.21,7.50,6.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W144PCPI%,SWEDEN,Inflation,7.02,7.40,6.01,6.72,9.91,9.78,10.25,11.43,10.00,7.22,13.70,12.11,8.58,8.91,8.02,7.37,4.23,4.22,5.80,6.44,10.47,9.34,2.28,4.65,2.20,2.53,0.47,0.52,-0.14,0.45,1.40,1.80
World Economic Outlook,Annual percent change,W146PCPI%,SWITZERLAND,Inflation,3.62,6.57,6.66,8.76,9.77,6.70,1.72,1.29,1.06,3.65,4.02,6.49,5.66,3.02,2.88,3.47,0.77,1.41,1.89,3.09,5.40,5.92,3.98,3.31,0.90,1.79,0.78,0.48,0.05,0.80,1.30,1.50
World Economic Outlook,Annual percent change,W463PCPI%,SYRIAN ARAB REPUBLIC,Inflation,4.24,4.88,0.78,20.00,15.38,11.46,11.43,11.79,5.10,4.36,19.33,18.40,14.27,5.99,9.45,16.82,36.19,71.43,30.00,15.38,11.11,19.00,3.36,23.58,7.89,1.22,1.57,1.90,-0.40,2.50,n.a.,n.a.
World Economic Outlook,Annual percent change,W528PCPI%,TAIWAN PROV.OF CHINA,Inflation,3.57,2.82,2.99,8.18,47.48,5.23,2.50,7.04,5.77,9.76,19.01,16.33,2.96,-2.17,-0.03,-0.16,0.70,0.52,1.29,4.40,4.13,3.62,4.47,2.94,4.09,3.68,3.07,0.90,1.66,0.20,1.80,2.10
World Economic Outlook,Annual percent change,W923PCPI%,TAJIKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5.60,111.60,1156.66,2194.92,350.40,610.00,418.22,87.96,43.17,27.56,14.52,7.25
World Economic Outlook,Annual percent change,W738PCPI%,TANZANIA,Inflation,3.52,4.70,7.64,10.47,19.20,26.48,6.87,11.62,11.48,13.76,30.20,30.30,25.70,28.90,27.10,36.10,33.30,32.40,30.00,31.20,30.40,28.04,21.93,23.62,37.15,26.47,21.05,16.13,12.57,7.89,5.75,4.46
World Economic Outlook,Annual percent change,W578PCPI%,THAILAND,Inflation,-0.09,0.44,4.91,15.46,24.33,5.30,4.15,7.58,7.85,9.93,19.71,12.70,4.53,4.67,0.65,2.42,1.85,2.48,3.86,5.50,6.00,5.70,4.07,3.36,5.10,5.77,5.85,5.61,8.10,0.30,3.00,3.00
World Economic Outlook,Annual percent change,W742PCPI%,TOGO,Inflation,4.48,6.49,7.72,3.61,12.83,18.01,11.64,22.46,1.42,7.51,12.32,19.72,11.13,9.36,-3.53,-1.81,4.12,0.05,-0.15,-2.81,1.13,0.24,1.62,-0.09,35.26,15.80,4.60,7.08,0.98,-0.12,n.a.,n.a.
World Economic Outlook,Annual percent change,W866PCPI%,TONGA,Inflation,0.00,0.00,0.00,0.00,0.00,0.00,11.66,17.48,9.58,5.45,-7.35,14.90,10.88,9.73,7.91,5.20,29.87,7.70,10.33,3.97,5.63,13.48,8.68,3.06,2.37,0.34,2.84,1.80,2.93,3.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W369PCPI%,TRINIDAD AND TOBAGO,Inflation,2.52,3.50,9.29,14.83,21.99,16.99,10.57,11.11,10.58,14.43,17.48,14.49,11.41,16.84,13.28,7.66,7.69,13.42,12.06,4.63,11.03,3.85,6.47,13.24,3.69,5.34,3.34,3.67,5.59,3.20,n.a.,n.a.
World Economic Outlook,Annual percent change,W744PCPI%,TUNISIA,Inflation,1.11,6.00,1.89,4.72,4.07,9.52,5.35,6.74,5.24,7.83,10.01,8.90,13.67,8.97,8.60,7.55,6.16,8.22,7.16,7.72,6.50,8.20,5.82,4.02,4.62,6.26,3.78,3.70,3.10,3.13,2.97,3.01
World Economic Outlook,Annual percent change,W186PCPI%,TURKEY,Inflation,6.92,15.72,11.65,15.42,15.80,19.18,17.35,23.02,53.20,61.80,110.17,36.58,30.84,31.40,48.38,44.96,34.62,38.84,73.68,63.28,60.30,65.98,70.07,66.10,106.25,93.68,82.29,85.73,84.64,64.87,46.46,16.98
World Economic Outlook,Annual percent change,W925PCPI%,TURKMENISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,102.50,492.90,3102.40,1748.30,1005.24,992.39,83.72,16.77,23.47,24.29,54.65
World Economic Outlook,Annual percent change,W746PCPI%,UGANDA,Inflation,74.93,74.93,74.93,74.93,74.93,74.93,74.93,74.93,49.45,94.95,99.20,100.00,100.00,150.00,16.71,100.00,143.80,215.40,166.70,130.80,45.40,20.82,42.24,29.96,6.53,6.11,7.49,7.75,5.80,-0.20,5.00,5.00
World Economic Outlook,Annual percent change,W926PCPI%,UKRAINE,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.20,91.17,1209.96,4734.91,891.19,376.35,80.23,15.89,10.59,22.72,22.54,10.24
World Economic Outlook,Annual percent change,W466PCPI%,UNITED ARAB EMIRATES,Inflation,21.98,21.98,21.98,21.98,21.98,21.98,21.98,21.97,13.04,10.99,10.07,7.95,7.08,1.30,2.43,3.50,5.43,5.50,4.99,2.79,0.60,6.10,6.22,4.97,3.97,5.12,2.63,2.07,1.96,1.95,n.a.,n.a.
World Economic Outlook,Annual percent change,W112PCPI%,UNITED KINGDOM,Inflation,6.35,9.45,7.08,9.19,15.95,24.30,16.71,15.83,8.64,12.61,16.85,12.19,8.51,5.20,4.45,5.16,3.63,4.07,4.61,5.91,8.15,6.76,4.72,2.99,2.38,2.82,2.96,2.76,2.65,2.29,1.99,2.44
World Economic Outlook,Annual percent change,W111PCPI%,UNITED STATES,Inflation,5.88,4.23,3.27,6.26,11.01,9.14,5.77,6.47,7.63,11.25,13.50,10.38,6.16,3.16,4.37,3.53,1.94,3.67,4.07,4.80,5.42,4.22,3.04,2.96,2.61,2.81,2.92,2.34,1.55,2.18,2.54,2.49
World Economic Outlook,Annual percent change,W298PCPI%,URUGUAY,Inflation,16.96,23.95,76.49,96.98,77.21,84.85,53.48,61.10,47.26,66.85,63.48,34.05,18.99,49.20,55.31,72.22,76.38,63.57,62.19,80.45,112.53,101.80,68.46,54.23,44.74,42.25,28.34,19.80,10.85,5.70,4.40,3.00
World Economic Outlook,Annual percent change,W927PCPI%,UZBEKISTAN,Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4.00,109.70,645.16,534.17,1568.34,304.60,53.96,70.86,28.98,29.10,29.81,38.78
World Economic Outlook,Annual percent change,W846PCPI%,VANUATU,Inflation,5.65,4.47,6.02,12.96,17.11,6.96,0.29,4.73,6.69,3.39,9.89,22.00,9.02,3.46,6.83,2.04,4.80,14.72,8.36,7.53,4.98,6.50,4.10,3.60,2.30,2.20,0.90,2.80,5.00,4.30,n.a.,n.a.
World Economic Outlook,Annual percent change,W299PCPI%,VENEZUELA,Inflation,2.49,3.22,2.83,4.13,8.27,10.28,7.59,7.78,7.02,12.47,21.36,16.24,9.61,6.24,12.25,11.34,11.61,28.18,29.41,84.46,40.66,34.21,31.42,38.12,60.82,59.92,99.88,50.04,35.78,23.57,18.59,16.33
World Economic Outlook,Annual percent change,W582PCPI%,VIETNAM,Inflation,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.07,4.04,25.16,69.60,95.40,49.49,64.90,91.60,487.20,316.71,394.00,35.00,67.00,84.36,37.82,8.40,9.40,17.00,5.80,3.16,7.70,7.60,6.00,4.50
World Economic Outlook,Annual percent change,W474PCPI%,"YEMEN, REPUBLIC OF",Inflation,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,33.46,44.91,50.60,62.33,71.75,62.51,41.80,4.30,11.20,7.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W754PCPI%,ZAMBIA,Inflation,2.60,6.04,5.06,6.46,8.10,10.13,18.80,19.78,16.37,9.66,11.73,14.00,12.49,19.69,20.02,37.43,54.80,47.03,54.04,128.29,109.56,97.70,165.72,183.26,54.61,34.91,43.09,24.41,24.46,26.74,n.a.,n.a.
World Economic Outlook,Annual percent change,W698PCPI%,ZIMBABWE,Inflation,2.09,3.02,2.85,3.11,6.60,10.01,11.04,10.26,8.23,12.55,7.24,13.24,10.39,23.24,20.29,8.33,14.47,12.48,7.40,12.85,17.37,23.30,42.09,27.63,22.23,22.61,21.43,18.85,32.32,60.00,n.a.,n.a.
